cp1;cp2;REF;email;sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check;;;;;;;;;;;
A;226;;;;;si;;;;;;;;;;;;;;;;;;;
B;227;;;;;si;;;;;;;;;;;;;;;;;;;
A;228;;;;;si;;;;;;;;;;;;;;;;;;;
B;229;;;;;si;;;;;;;;;;;;;;;;;;;
A;230;;;;;si;;;;;;;;;;;;;;;;;;;
B;231;;;;;si;;;;;;;;;;;;;;;;;;;
A;232;;;;;si;;;;;;;;;;;;;;;;;;;
B;233;;;;;si;;;;;;;;;;;;;;;;;;;
A;234;;;;;si;;;;;;;;;;;;;;;;;;;
B;235;;;;;si;;;;;;;;;;;;;;;;;;;
A;236;;;;;si;;;;;;;;;;;;;;;;;;;
A;237;;;;;si;;;;;;;;;;;;;;;;;;;
B;238;;;;;si;;;;;;;;;;;;;;;;;;;
A;239;;;;;si;;;;;;;;;;;;;;;;;;;
B;240;;;;;si;;;;;;;;;;;;;;;;;;;
A;241;;;;;si;;;;;;;;;;;;;;;;;;;
B;242;;;;;si;;;;;;;;;;;;;;;;;;;
A;243;;;;;si;;;;;;;;;;;;;;;;;;;
B;244;;;;;si;;;;;;;;;;;;;;;;;;;
A;245;;;;;si;;;;;;;;;;;;;;;;;;;
B;246;;;;;si;;;;;;;;;;;;;;;;;;;
A;247;;;;;si;;;;;;;;;;;;;;;;;;;
B;248;;;;;si;;;;;;;;;;;;;;;;;;;
A;249;;;;;si;;;;;;;;;;;;;;;;;;;
